id	character	background	dialogue
11	손님	1	주모! 여기 한 잔 더!
12	주모	2	네~
12	주모	2	준영아! 저 손님에게 탁주 한 사발 더 가져다 드려라.
1	성준영	2	네, 아주머니!
100	none	100	"아비 없는 놈이라 놀림 받는 꼴을 본 준영의 어미는 놀림받지 않기 위해서는 글을 배워야 한다며 없는 형편에 준영을 서당에 보냈다."
100	none	100	그게 벌써 이 년 전이다.
100	none	100	"일 년 전, 밤낮을 가리지 않고 삯바느질에 몰두하던 준영의 어미는 결국 병을 얻었다."
100	none	100	"부모님 결혼할 적 가지고 온 은수저며 비단 금침까지 장날 내다 팔아가며 청주 시내 유명하단 의원이란 의원은 모두 찾아가 매달렸으나,"
100	none	100	아무런 차도를 보이지 못한 채 하루하루 병세가 악화되고 있었다.
1	성준영	2	김 씨 아저씨!
1	성준영	2	오늘은 조금 늦으셨네요?
100	none	100	그대로 가만히 있다간 어미와 함께 꼼짝없이 굶어 죽을 지경이었다.
100	none	100	허나 평소 준영의 어미가 덕을 잘 쌓아놨었던터라,
100	none	100	마을 어귀에서 주막을 운영하는 백 씨가 준영을 거두었다.
2	김씨	2	늦기는, 이 자식아!
2	김씨	2	너도 이 날씨에 돼지 멱을 따 봐야 그게 얼마나 고된 일인지 알게다!
100	none	100	그리하여 준영은 백정인 김 씨와 함께, 백 씨의 주막 일을 돕는 대신 날마다 남은 쌀이며 찬, 돈 몇 푼을 손에 쥘 수 있게 되었다.
1	성준영	2	모르기는요.
1	성준영	2	저도 이 땡볕 아래서 일하고 있잖아요!
100	none	100	준영의 능청스런 대꾸에 김 씨는 어이 없다는 듯 혀를 찼다.
1	성준영	2	아저씨, 오늘따라 사람이 너무 많지 않아요?
1	성준영	2	나 참, 나는 더워서 이런 뜨거운 국 같은 건 입에도 대기 싫은데.
1	성준영	2	이런 날에는 국밥 대신 시원한 국수나 말아 먹어야 제맛인데…
